rank_by_qubo_score,selected_leds,bitstring,qubo_score,qubo_energy,qaoa_qubo_energy,num_selected_leds,power_consumption_ratio,qaoa_count,qaoa_probability,coverage_rate,power_uniformity,snr_uniformity,snr_threshold_db,mean_snr_db,min_snr_db,max_snr_db,mean_received_power,min_received_power,max_received_power
2030,1,b_1000000000000000,0.18061029005440526,-0.18061029005440526,-0.18061029005440526,1,0.0625,3,0.0003662109375,0.2876,0.0,0.0,13.6,20.508596013785123,-300.0,31.673486343500773,1.532111970071818e-06,0.0,1.5693557744997797e-05
2031,16,b_0000000000000001,0.18061029005440526,-0.18061029005440526,-0.18061029005440526,1,0.0625,2,0.000244140625,0.2876,0.0,0.0,13.6,20.508596013785123,-300.0,31.673486343500773,1.5321119700718181e-06,0.0,1.5693557744997797e-05
2032,13,b_0000000000001000,0.1806102900544052,-0.1806102900544052,-0.1806102900544052,1,0.0625,4,0.00048828125,0.2876,0.0,0.0,13.6,20.508596013785123,-300.0,31.673486343500773,1.532111970071818e-06,0.0,1.5693557744997797e-05
2033,4,b_0001000000000000,0.18061029005440515,-0.18061029005440515,-0.18061029005440515,1,0.0625,9,0.0010986328125,0.2876,0.0,0.0,13.6,20.508596013785123,-300.0,31.673486343500773,1.5321119700718177e-06,0.0,1.5693557744997797e-05
2034,6-7-11-16,b_0000011000100001,0.17893161618947234,-0.17893161618947234,-0.17893161618947234,4,0.25,2,0.000244140625,0.7452,0.0,0.0,13.6,27.52131061603773,-300.0,33.090241467448834,6.962415197676536e-06,0.0,2.7590668928031573e-05
2035,5-6-9-11-16,b_0000110010100001,0.17789243099989055,-0.17789243099989055,-0.17789243099989055,5,0.3125,1,0.0001220703125,0.8228,0.0,0.0,13.6,28.46716163056305,-300.0,33.136464628368344,8.484565978999196e-06,0.0,2.8417446224291745e-05
2036,4-11-12-14-16,b_0001000000110101,0.17666486132787818,-0.17666486132787818,-0.17666486132787818,5,0.3125,1,0.0001220703125,0.7708,0.0,0.0,13.6,28.35532388311269,-300.0,33.13436323765365,8.206576873202774e-06,0.0,2.8378434383536904e-05
2037,3-6-9-10,b_0010010011000000,0.17609243224279386,-0.17609243224279386,-0.17609243224279386,4,0.25,1,0.0001220703125,0.7376,0.0,0.0,13.6,27.51978968537444,-300.0,33.09136622719561,6.9524540089273765e-06,0.0,2.7610038915796267e-05
2038,2-7-9-10-12-15,b_0100001011010010,0.17598547950131688,-0.17598547950131688,-0.17598547950131688,6,0.375,1,0.0001220703125,0.9152,0.0,0.0,13.6,29.370941173743947,-300.0,33.03053078150568,1.0284705866118274e-05,0.0,2.661093527599363e-05
2039,2-3-7-12-15,b_0110001000010010,0.17167126157065354,-0.17167126157065354,-0.17167126157065354,5,0.3125,1,0.0001220703125,0.814,0.0,0.0,13.6,28.474909448537456,-300.0,33.09380074712387,8.474604790250035e-06,0.0,2.7652087564293946e-05
2040,6-7-9-11-16,b_0000011010100001,0.16893782128974977,-0.16893782128974977,-0.16893782128974977,5,0.3125,1,0.0001220703125,0.8516,0.0,0.0,13.6,28.49913913728357,-300.0,33.13422023022828,8.628541126271985e-06,0.0,2.8375784628618356e-05
2041,6-7-11,b_0000011000100000,0.16819410850460847,-0.16819410850460847,-0.16819410850460847,3,0.1875,1,0.0001220703125,0.6776,0.0,0.0,13.6,26.279061353654335,-300.0,33.07655122465064,5.430303227604718e-06,0.0,2.7357729542480852e-05
2042,6-10-11,b_0000010001100000,0.16819410850460847,-0.16819410850460847,-0.16819410850460847,3,0.1875,1,0.0001220703125,0.6776,0.0,0.0,13.6,26.279061353654335,-300.0,33.07655122465064,5.430303227604718e-06,0.0,2.7357729542480852e-05
2043,3-5-11-14-15-16,b_0010100000100111,0.1675040099042951,-0.1675040099042951,-0.1675040099042951,6,0.375,1,0.0001220703125,0.9408,0.0,0.0,13.6,29.165471578341148,-300.0,33.28108373625603,1.0006716760321853e-05,0.0,3.1500257724446954e-05
2044,3-6-8-9-10,b_0010010111000000,0.1666179974198887,-0.1666179974198887,-0.1666179974198887,5,0.3125,1,0.0001220703125,0.8272,0.0,0.0,13.6,28.53119993931911,-300.0,33.09136622719561,8.618579937522824e-06,0.0,2.7610038915796267e-05
2045,1-3-8-11-12-13-16,b_1010000100111001,0.16599746658179243,-0.16599746658179243,-0.16599746658179243,7,0.4375,1,0.0001220703125,0.9932,0.0,0.0,13.6,29.766682161109074,-300.0,33.28108373625603,1.140481477187004e-05,0.0,3.150025772444695e-05
2046,1-3-5-8-10-11-13,b_1010100101101000,0.16415753985512602,-0.16415753985512602,-0.16415753985512602,7,0.4375,1,0.0001220703125,0.938,0.0,0.0,13.6,30.029529599543586,-300.0,33.003286499870576,1.1682803877666462e-05,0.0,2.6193197546097276e-05
2047,1-3-4-6-10-12-15,b_1011010001010010,0.16415753985512593,-0.16415753985512593,-0.16415753985512593,7,0.4375,1,0.0001220703125,0.938,0.0,0.0,13.6,30.029529599543586,-300.0,33.003286499870576,1.1682803877666462e-05,0.0,2.619319754609728e-05
2048,1-5-6-7-12-13,b_1000111000011000,0.16403083074110042,-0.16403083074110042,-0.16403083074110042,6,0.375,1,0.0001220703125,0.9152,0.0,0.0,13.6,29.21532656050217,-300.0,33.15927688406389,1.0016677949071012e-05,0.0,2.8850291509453847e-05
2049,3-4-7-9-11-16,b_0011001010100001,0.16313571939125887,-0.16313571939125887,-0.16313571939125887,6,0.375,1,0.0001220703125,0.908,0.0,0.0,13.6,29.219717187647262,-300.0,33.15927688406389,1.0016677949071012e-05,0.0,2.8850291509453844e-05
2050,5-7-10-11,b_0000101001100000,0.16045100887400413,-0.16045100887400413,-0.16045100887400413,4,0.25,1,0.0001220703125,0.784,0.0,0.0,13.6,27.538972862164037,-300.0,33.13422023022828,7.096429156200168e-06,0.0,2.837578462861835e-05
2051,6-7-9-11,b_0000011010100000,0.16045100887400407,-0.16045100887400407,-0.16045100887400407,4,0.25,1,0.0001220703125,0.784,0.0,0.0,13.6,27.538972862164037,-300.0,33.13422023022828,7.096429156200168e-06,0.0,2.8375784628618356e-05
2052,3-5-9-13-14,b_0010100010001100,0.15903885052245847,-0.15903885052245847,-0.15903885052245847,5,0.3125,1,0.0001220703125,0.8192,0.0,0.0,13.6,28.257464829868386,-300.0,33.157371564169225,8.196615684453613e-06,0.0,2.881346964364345e-05
2053,3-4-5-8-9-12-14,b_0011100110010100,0.15832612132136079,-0.15832612132136079,-0.15832612132136079,7,0.4375,1,0.0001220703125,0.962,0.0,0.0,13.6,29.92665290996882,-300.0,33.157371564169225,1.152886754164451e-05,0.0,2.8813469643643446e-05
2054,1-3-7-11-12-14,b_1010001000110100,0.15718829423958383,-0.15718829423958383,-0.15718829423958383,6,0.375,1,0.0001220703125,0.9392,0.0,0.0,13.6,29.245596075849413,-300.0,33.23527323662666,1.0150691907594644e-05,0.0,3.0429349094668943e-05
2055,2-6-8-12-13-15-16,b_0100010100011011,0.15689568069016416,-0.15689568069016416,-0.15689568069016416,7,0.4375,1,0.0001220703125,0.9612,0.0,0.0,13.6,29.92722572149477,-300.0,33.157371564169225,1.1538828730393671e-05,0.0,2.8813469643643446e-05
2056,1-3-5-10-11-15,b_1010100001100010,0.15567942609800256,-0.15567942609800256,-0.15567942609800256,6,0.375,1,0.0001220703125,0.8996,0.0,0.0,13.6,29.31882841752179,-300.0,33.09136622719561,1.0150691907594644e-05,0.0,2.7610038915796273e-05
2057,6-8-9-11-12,b_0000010110110000,0.1553807528352278,-0.1553807528352278,-0.1553807528352278,5,0.3125,1,0.0001220703125,0.8608,0.0,0.0,13.6,28.489486069724578,-300.0,33.136464628368344,8.618579937522824e-06,0.0,2.8417446224291755e-05
2058,1-4-5-8-9-13-14-16,b_1001100110001101,0.15415472492094223,-0.15415472492094223,-0.15415472492094223,8,0.5,1,0.0001220703125,1.0,0.12949460209741248,0.0357482851367033,13.6,30.406107157082385,15.938659290193286,33.16744013796014,1.2792951594669066e-05,1.656618176403129e-06,2.9009478842018103e-05
2059,1-3-4-5-7-12-13-16,b_1011101000011001,0.15324976990812034,-0.15324976990812034,-0.15324976990812034,8,0.5,1,0.0001220703125,1.0,0.12805345577418548,0.035204484876963434,13.6,30.472679350512927,15.938659290193286,33.13436323765365,1.2936926741941857e-05,1.656618176403129e-06,2.8378434383536904e-05
2060,2-7-8-11,b_0100001100100000,0.15134991775094575,-0.15134991775094575,-0.15134991775094575,4,0.25,1,0.0001220703125,0.7368,0.0,0.0,13.6,27.498934837844597,-300.0,33.17375227798033,6.9524540089273765e-06,0.0,2.9134180233746848e-05
